hrc_quartile,n,deaths,mortality_rate,median_hrc,database
"Q1
lowest",4190,885,0.211217183770883,-0.999613425188519,MIMIC-IV
Q2,4189,559,0.133444736213894,-0.285156796494933,MIMIC-IV
Q3,4189,536,0.127954165671998,0.247954972197031,MIMIC-IV
"Q4
highest",4189,577,0.137741704464073,1.06409983581798,MIMIC-IV
"Q1
lowest",2319,646,0.278568348426046,-1.04316835210301,eICU
Q2,2319,431,0.185855972401897,-0.297525107681999,eICU
Q3,2318,421,0.181622088006902,0.252679416155515,eICU
"Q4
highest",2319,414,0.178525226390686,1.07989294064877,eICU
"Q1
lowest",2069,314,0.151764137264379,-1.09547927519035,SICdb
Q2,2069,266,0.128564523924601,-0.375231887173525,SICdb
Q3,2068,190,0.0918762088974855,0.246770688923271,SICdb
"Q4
highest",2069,156,0.0753987433542774,1.16539447158538,SICdb
