database,window_strategy,n,deaths,beta,se,odds_ratio,ci_low,ci_high,p_value,source
MIMIC-IV,primary_0_6_6_24,16757,2557,-0.231168803831894,0.0220985443804349,0.793605491079912,0.759966325733871,0.828733661144794,1.3072513245135398e-25,database_specific
MIMIC-IV,early_0_6_6_12,16534,2504,-0.0959977616178836,0.0220495517971473,0.908466049560589,0.87004174213798,0.948587318553431,1.33841462550444e-5,database_specific
MIMIC-IV,late_0_12_12_24,17030,2625,-0.268210098308305,0.0224233375054707,0.764747092152875,0.731865128827813,0.799106408981364,5.67337889034166e-33,database_specific
eICU,primary_0_6_6_24,9275,1912,-0.280016433243375,0.0285507948616437,0.755771321579613,0.714640998128641,0.799268852497847,1.0436248733267299e-22,database_specific
eICU,early_0_6_6_12,7924,1643,-0.14494177151544,0.0303013235136316,0.865072663514462,0.815192274213035,0.918005158822737,1.72399375308391e-6,database_specific
eICU,late_0_12_12_24,8734,1963,-0.306305184172892,0.0293065743497462,0.736161920203784,0.69506840457715,0.779684947825837,1.4383598396795198e-25,database_specific
SICdb,primary_0_6_6_24,8275,926,-0.410727602120282,0.0420169457946364,0.663167552434425,0.610742833639663,0.720092284965462,1.43752773917809e-22,database_specific
SICdb,early_0_6_6_12,8258,924,-0.301864164964186,0.0428295928570243,0.739438499723185,0.679900629596704,0.804190011115597,1.81471273155912e-12,database_specific
SICdb,late_0_12_12_24,8379,945,-0.348740038185208,0.0411263419510719,0.705576529385592,0.650934544946818,0.764805375109552,2.25728327790161e-17,database_specific
NA,primary_0_6_6_24,NA,NA,NA,NA,0.739922507537297,0.675749881670948,0.810189290461284,7.644038557539139e-11,meta
NA,early_0_6_6_12,NA,NA,NA,NA,0.83909802316864,0.755298387255329,0.932195148786281,0.00108321582982472,meta
NA,late_0_12_12_24,NA,NA,NA,NA,0.742143698785749,0.710920953074465,0.774737707849922,4.0737711586107194e-42,meta
