database,outcome,label,threshold,baseline_net_benefit,hrc_net_benefit,delta_net_benefit,treat_all_net_benefit,treat_none_net_benefit
MIMIC-IV,outcome,Hospital mortality,0.05,0.11357390312925,0.112845221007403,-7.2868212184695e-4,0.107992574980448,0
MIMIC-IV,outcome,Hospital mortality,0.1,0.0840643711085914,0.0855032391106867,0.00143886800209532,0.0584366069238063,0
MIMIC-IV,outcome,Hospital mortality,0.15,0.0617160870435182,0.0644857811836318,0.00276969414011352,0.00305052497814781,0
MIMIC-IV,outcome,Hospital mortality,0.2,0.0458166736289312,0.0484722802410933,0.00265560661216209,-0.0592588172107179,0
MIMIC-IV,outcome,Hospital mortality,0.25,0.0307334248373814,0.0358258240337372,0.00509239919635576,-0.129876071691432,0
MIMIC-IV,outcome,Hospital mortality,0.3,0.021722265321955,0.0263599860186361,0.00463772069668113,-0.210581505383678,0
MIMIC-IV,outcome,Hospital mortality,0.35,0.0151853875074022,0.0194361942884948,0.00425080678109264,-0.303703159643961,0
MIMIC-IV,outcome,Hospital mortality,0.4,0.00998587654910385,0.0147600007956874,0.00477412424658352,-0.412345089614291,0
eICU,outcome,Hospital mortality,0.05,0.164363739537523,0.164187828060718,-1.759114768052e-4,0.164363739537523,0
eICU,outcome,Hospital mortality,0.1,0.119412997903564,0.117508235998802,-0.00190476190476188,0.117939502845163,0
eICU,outcome,Hospital mortality,0.15,0.0789281750436023,0.0796575233867132,7.2934834311083e-4,0.0660535912478199,0
eICU,outcome,Hospital mortality,0.2,0.0499460916442049,0.0557681940700809,0.00582210242587601,0.00768194070080863,0
eICU,outcome,Hospital mortality,0.25,0.0341060197663971,0.0386343216531896,0.00452830188679246,-0.0584725965858041,0
eICU,outcome,Hospital mortality,0.3,0.0227493261455526,0.0265075086638429,0.00375818251829033,-0.134077782056219,0
eICU,outcome,Hospital mortality,0.35,0.011055359734605,0.0195479991706407,0.00849263943603566,-0.221314534522082,0
eICU,outcome,Hospital mortality,0.4,0.00675651392632524,0.0109973045822102,0.00424079065588499,-0.323090745732255,0
SICdb,outcome,Hospital mortality,0.05,0.0691258603361195,0.0703153823645408,0.00118952202842129,0.0651756294289022,0
