Database,Assessment set,Domain,Complete n,Denominator n,Complete %
MIMIC-IV,Formal early-support cohort,All core observed HRC requirements,"16,757","17,966",93.3%
MIMIC-IV,Formal early-support cohort,Baseline and response MAP,"17,950","17,966",99.9%
MIMIC-IV,Formal early-support cohort,Baseline and response creatinine,"12,436","17,966",69.2%
MIMIC-IV,Formal early-support cohort,Baseline and response lactate,"6,912","17,966",38.5%
MIMIC-IV,Formal early-support cohort,"Baseline and response urine output, weight-normalized","16,763","17,966",93.3%
MIMIC-IV,Formal early-support cohort,Baseline and response vasoactive support,"17,966","17,966",100.0%
MIMIC-IV,Formal early-support cohort,Post-landmark hospital mortality,"17,966","17,966",100.0%
MIMIC-IV,Primary HRC analytic cohort,0-24 h fluid covariate,"16,757","16,757",100.0%
MIMIC-IV,Primary HRC analytic cohort,24-72 h creatinine summary,"13,645","16,757",81.4%
MIMIC-IV,Primary HRC analytic cohort,24-72 h lactate summary,"6,218","16,757",37.1%
MIMIC-IV,Primary HRC analytic cohort,24-72 h organ nonrecovery evaluable,"14,634","16,757",87.3%
MIMIC-IV,Primary HRC analytic cohort,Baseline and response CVP,"8,303","16,757",49.5%
eICU,Formal early-support cohort,All core observed HRC requirements,"9,275","16,677",55.6%
eICU,Formal early-support cohort,Baseline and response MAP,"16,467","16,677",98.7%
eICU,Formal early-support cohort,Baseline and response creatinine,"5,655","16,677",33.9%
eICU,Formal early-support cohort,Baseline and response lactate,"3,138","16,677",18.8%
eICU,Formal early-support cohort,"Baseline and response urine output, weight-normalized","10,671","16,677",64.0%
eICU,Formal early-support cohort,Baseline and response vasoactive support,"14,730","16,677",88.3%
eICU,Formal early-support cohort,Post-landmark hospital mortality,"16,677","16,677",100.0%
eICU,Primary HRC analytic cohort,0-24 h fluid covariate,"9,275","9,275",100.0%
eICU,Primary HRC analytic cohort,24-72 h creatinine summary,"8,090","9,275",87.2%
eICU,Primary HRC analytic cohort,24-72 h lactate summary,"2,222","9,275",24.0%
eICU,Primary HRC analytic cohort,24-72 h organ nonrecovery evaluable,"8,552","9,275",92.2%
eICU,Primary HRC analytic cohort,Baseline and response CVP,NA,NA,NA
SICdb,Formal early-support cohort,All core observed HRC requirements,"8,275","8,700",95.1%
SICdb,Formal early-support cohort,Baseline and response MAP,"8,696","8,700",100.0%
SICdb,Formal early-support cohort,Baseline and response creatinine,"2,925","8,700",33.6%
SICdb,Formal early-support cohort,Baseline and response lactate,"8,592","8,700",98.8%
SICdb,Formal early-support cohort,"Baseline and response urine output, weight-normalized","8,277","8,700",95.1%
SICdb,Formal early-support cohort,Baseline and response vasoactive support,"8,700","8,700",100.0%
SICdb,Formal early-support cohort,Post-landmark hospital mortality,"8,700","8,700",100.0%
SICdb,Primary HRC analytic cohort,0-24 h fluid covariate,"8,274","8,274",100.0%
SICdb,Primary HRC analytic cohort,24-72 h creatinine summary,"7,529","8,274",91.0%
SICdb,Primary HRC analytic cohort,24-72 h lactate summary,"7,752","8,274",93.7%
SICdb,Primary HRC analytic cohort,24-72 h organ nonrecovery evaluable,"7,674","8,274",92.7%
SICdb,Primary HRC analytic cohort,Baseline and response CVP,NA,NA,NA
